steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
545000	2724	9893.830059289932	-130.6452523801984	-121.31082526275833	117.74688857993984	-1.3676581861775325	-369.303520431561	-14.637469	-14.633716	0.15858619194477797	0.1504772026091814	535001	-0.9721569	0.017698176205158234
550000	2748	9980.973777770996	-151.64319002313567	-121.05765383873488	51.47305306956201	-116.64884937374	-230.00979819692782	-15.240529	-15.276615	0.19010652735829353	0.15311357457190752	540001	-1.1215141	0.016879748553037643
555000	2772	10068.509224653244	-205.66070704192268	-223.5279873306714	62.66659745322135	-119.44313908562766	-303.2341197039364	-13.806313	-13.775238	0.24239870235323907	0.170332747772336	545001	-0.99637467	0.01573788747191429
560000	2800	10152.967334032059	-152.52991264981878	-119.36506505517504	111.13414720626686	-0.7764065493199589	-356.06929624476714	-16.04095	-16.03152	0.17233493559062482	0.1445370513573289	550001	-1.0606958	0.014812581241130829
565000	2824	10238.637788057327	-149.12158924073748	-119.6597781337708	87.9804499864065	-0.1595640901744304	-307.0996554153292	-13.240781	-13.215285	0.16900017365813255	0.1536440582573414	555001	-1.0201519	0.014920978806912899
570000	2848	10330.699998378754	-182.52743297844486	-171.38560260366154	107.48514310794744	-0.604802197213975	-355.63752139246225	-11.776746	-11.804738	0.18414474442601203	0.1619486379250884	560001	-0.8457935	0.013785779476165771
575000	2872	10442.00006866455	-155.69339136023774	-121.6112678097557	56.04694498152824	-115.76837752114598	-258.64306960582235	-13.010711	-13.077396	0.23046541407704355	0.17372884839773178	565001	-1.0664623	0.01418889407068491
580000	2900	10558.02151966095	-154.66712969757646	-121.7071803441857	79.6847376165594	-0.3189976361962787	-243.77383191048506	-13.930593	-13.971106	0.14569953959435225	0.15559891909360885	570001	-0.9635281	0.014118548482656479
585000	2924	10655.282003879547	-109.6569657625676	-121.40616598815627	38.080335084074896	-1.4969063923805104	-125.31447513693942	-14.697795	-14.707822	0.16882771961390972	0.15479248944669963	575001	-0.98860145	0.013669277541339397
590000	2948	10744.145534038544	-117.63207451030003	-118.2051988491533	76.9432076873654	-0.49150210100161906	-236.95301586229232	-13.803686	-13.769421	0.2608130930364132	0.21691616207361222	580001	-1.0907693	0.014727250672876835
595000	2972	10829.535871505737	-116.08579843381044	-117.4153472338598	75.575085971736	-0.3480135417431585	-227.87483851901706	-12.911134	-12.896303	0.19901350285857916	0.24022560313344002	585001	-1.0004134	0.015785733237862587
600000	3000	10916.103502988815	-154.68266133545058	-123.81858137663717	54.13683268627599	-116.43548229809177	-242.20377070887145	-13.54354	-13.5821	0.18255209997296334	0.2394308776408434	590001	-0.9930304	0.013784129172563553
605000	3024	11057.539443016052	-133.51691036343658	-122.36402932417909	88.95370771966195	-0.23110756066635024	-243.08132912081786	-13.690498	-13.67766	0.16837238643318414	0.14880771890282632	595001	-0.8809446	0.015050703659653664
610000	3048	11199.407998085022	-140.65983130916374	-120.47828098048285	72.39365563826084	-0.17751767955817088	-237.07648941959937	-15.696626	-15.740913	0.2062685762345791	0.20867642492055893	600001	-0.98401284	0.014080246910452843
615000	3072	11341.655405044556	-109.40285471067016	-119.20887275728435	71.35574023434033	-0.22313985995871832	-254.96580725076157	-15.594512	-15.671124	0.16272326990962027	0.1724642251431942	605001	-0.97930485	0.016836171969771385
620000	3100	11456.391503572464	-120.02416430295875	-117.51874429426019	81.05340242819304	-0.3138593774597447	-249.07830013898408	-14.309746	-14.282272	0.18461300756782292	0.18941312737762928	610001	-0.9819124	0.015158451162278652
625000	3124	11554.610177278519	-106.78220684149056	-120.07649195214583	64.55903247403877	-1.3263583270408557	-227.48876000597434	-14.815724	-14.82032	0.2893903996795416	0.16022795401513576	615001	-1.1993339	0.014959984458982944
630000	3148	11645.520165920258	-151.1007871785396	-122.00263851593749	50.5735554415262	-116.6863596719092	-227.92777896730183	-12.221998	-12.232131	0.22263393349945546	0.22646731294691563	620001	-0.87004817	0.01301420945674181
635000	3172	11734.054474115372	-119.86026525890696	-121.61964591575517	77.62750318184945	-0.05261237839839937	-242.5240961199886	-12.66322	-12.629681	0.15814478654414416	0.1693999870866537	625001	-1.0623683	0.01311406772583723
640000	3200	11822.878091812134	-129.97200759702358	-121.27252309558695	62.740630419215066	-1.4198541195706846	-230.2106586113201	-13.547016	-13.549855	0.2572428539395332	0.3325550011172891	630001	-1.0835798	0.010813180357217789
645000	3224	11908.816537857056	-122.54384143772683	-117.94582971398404	102.80536991183568	-0.1286195829598739	-293.5987025327164	-14.379494	-14.387386	0.143939843326807	0.14583167284727097	635001	-1.0307293	0.01039752084761858
650000	3248	11993.517307043076	-128.3517211350726	-119.97058824123647	83.17194062509174	-0.08731574891688261	-235.93116849635175	-13.789801	-13.833894	0.3524000295251608	0.2866982448473573	640001	-1.07115	0.01197096612304449
655000	3272	12080.095222949982	-151.99633881337687	-123.03516923800447	76.72934984564137	-0.9172582424543421	-246.62208941961677	-13.99969	-13.99667	0.1632413410022855	0.13702787924557924	645001	-0.9226482	0.013013440184295177
660000	3300	12180.060287475586	-95.86305477320238	-119.73899326619554	74.19662297369786	-0.0682784543716884	-232.03073161408986	-14.144865	-14.140223	0.24412721380591393	0.1845402367040515	650001	-1.0178982	0.010784977115690708
665000	3324	12290.289488077164	-140.47628986383558	-121.4453558693177	70.53227342621202	-0.4274431096699904	-231.9014285272998	-13.967822	-13.918497	0.20213287226855756	0.18452599320560695	655001	-1.018843	0.012544878758490086
670000	3348	12405.57017827034	-172.6230764127267	-178.50409354900134	88.57124234802313	-0.07122753851580163	-277.0023132585934	-13.549403	-13.551678	0.21373473547399044	0.22528013192117213	660001	-0.92505234	0.011618980206549168
675000	3372	12495.740218400955	-162.62883443973442	-121.72166354126949	58.31305183807763	-114.84812618543673	-235.12175351015932	-13.916123	-13.954864	0.26638334784656764	0.22815215811133385	665001	-1.0320685	0.012565101496875286
680000	3400	12585.961550235748	-186.31637116191573	-179.40942696175458	73.2105519754323	-114.90962656865547	-310.45802335628895	-12.993573	-12.992077	0.17684213496744633	0.1420172256976366	670001	-1.015998	0.010317079722881317
685000	3424	12674.330206871033	-152.77621480841628	-122.49380470726288	77.71625963748123	-0.48308924337928194	-243.91606905778423	-13.93326	-13.931851	0.18112860187888147	0.1560249013081193	675001	-0.9875569	0.009946588426828384
690000	3448	12764.46617603302	-125.13036040558787	-116.56453290140584	92.59563575937688	-0.9046470362083953	-315.93194032915926	-13.429102	-13.482961	0.15656939543783666	0.13316537968814374	680001	-0.99658924	0.010789698921144009
695000	3472	12855.242375850677	-116.55199431255554	-115.88315206608362	95.02878368914789	-0.1349764062497722	-251.27000680887136	-15.220978	-15.190999	0.21393723487854005	0.20240894593298436	685001	-1.151092	0.011869269423186779
700000	3500	12945.637493610382	-129.15905572437816	-119.9516491849787	85.1710189958199	-0.1417848073013872	-240.42974823111075	-13.376759	-13.384991	0.13584832277148962	0.165862783677876	690001	-1.0432589	0.01224215142428875
705000	3524	13034.4901471138	-138.5384224859926	-118.90284524389956	80.05543213992698	-1.3699922216327873	-308.84103696071816	-10.431709	-10.430047	0.18850870378315449	0.1872121212258935	695001	-0.864144	0.011527961120009422
710000	3548	13122.51820397377	-83.98232079489324	-118.15383013804546	57.81307892313284	-0.06515367559939808	-123.84725729816472	-11.894306	-11.858111	0.19826945126056672	0.3297787103056908	700001	-0.94359106	0.012308834120631218
715000	3572	13231.57241821289	-140.67003950593033	-120.57787121145608	47.01140027757759	-112.76415966226986	-232.14275861210143	-14.700728	-14.7158985	0.17117347911000252	0.12231504827737809	705001	-0.94402295	0.013030268251895905
720000	3600	13322.960960388184	-116.97519661310977	-119.96197137733742	74.3635145914405	-0.3926563484616972	-226.05773700380752	-13.187481	-13.206582	0.2966131208464503	0.18725368048995733	710001	-0.95572877	0.012546888552606106
725000	3624	13416.780153989792	-105.5870367858098	-120.32935332114756	100.96077201330884	-0.11483084124520833	-235.81891919784	-12.250534	-12.254041	0.16969660963863134	0.1933927333727479	715001	-0.93359864	0.014195173978805542
730000	3648	13502.9207675457	-131.07094229829366	-120.59959522776867	104.1215409570639	-0.22378642511932603	-250.2243624931406	-11.684484	-11.668643	0.14890547268092633	0.1836992316879332	720001	-0.928965	0.012919683009386063
735000	3672	13595.200108528137	-106.08245989790157	-120.61631855912722	83.93127845747235	-0.100315661144149	-232.4790546476358	-12.51358	-12.494307	0.1812903316691518	0.17953642897307873	725001	-1.0264897	0.012716440483927727
740000	3700	13705.609679698944	-119.74805135036031	-120.26734789870275	55.00876900495454	-1.200907361877132	-234.34508514243015	-11.606113	-11.60695	0.15200416199862957	0.13236087638884783	730001	-0.94894975	0.01166499499231577
745000	3724	13814.557443618774	-129.09941454863417	-120.74242641040485	62.58963154283101	-1.7546408444952066	-229.6932335842768	-13.2087	-13.213342	0.2172554275020957	0.25482547506690023	735001	-0.9704316	0.010998222045600414
750000	3748	13904.672608852386	-176.72149294493047	-172.01991573664387	62.09473146752606	-117.9220011471425	-275.7585032053766	-11.011332	-10.995032	0.16049781220033765	0.14522401086986064	740001	-0.9293794	0.01219629030674696
755000	3772	13993.257802009583	-160.8707151530563	-122.77586690976045	88.95325866807288	-3.908832324231905	-308.84730681393546	-10.97399	-10.9697695	0.17123115520924329	0.1563332111015916	745001	-0.9508134	0.011520471423864365
760000	3800	14081.08197069168	-162.39017375842977	-170.52323932473118	78.26408230888667	-0.16163309105116064	-242.14198540019166	-12.582435	-12.551188	0.18423683725297452	0.20924390636384488	750001	-0.9216254	0.01269566547125578
765000	3824	14205.348612308502	-177.14731532367034	-176.35344048872665	97.66983646901835	-1.1388041471638959	-354.2600154394071	-14.826821	-14.830391	0.14687708705663682	0.1673498534411192	755001	-0.9410115	0.011841331608593464
770000	3848	14294.321084737778	-150.6214941990436	-119.91397544068815	75.97430443694893	-1.225882985278053	-242.86161805451886	-15.518782	-15.530866	0.27956825036555527	0.1554040321148932	760001	-0.97433263	0.011306882835924625
775000	3872	14385.43453001976	-146.46031596892476	-122.58277705787907	97.86152781825106	-0.231640928883285	-283.3552752094855	-12.706623	-12.657588	0.1500214009359479	0.12317293770611286	765001	-1.0712495	0.010946842841804028
780000	3900	14478.25031208992	-129.99695922895336	-119.01994453387488	66.27736001293692	-0.35919792401865647	-240.60198396607814	-13.997477	-13.969243	0.2946187423169613	0.27431510884314775	770001	-0.95633495	0.012740680947899818
785000	3924	14570.214420557022	-108.04929579440528	-118.26290608830877	86.26532337036113	-0.4081064214797671	-235.07473893411202	-13.884225	-13.849127	0.15893498219549657	0.19679838486015797	775001	-0.8861135	0.011378346011042595
790000	3948	14676.266194820404	-129.98294297273546	-119.5890431251398	34.26258476061133	-115.91149615521958	-227.33794305029232	-15.085231	-15.127803	0.1528771460801363	0.26379372537136075	780001	-1.1204331	0.009850259870290756
795000	3972	14765.501566648483	-105.97768505736758	-120.15493127111426	83.55264482442979	-0.13747509931804142	-231.38336561717685	-13.47919	-13.528809	0.14124279141426085	0.16296792186796666	785001	-1.0039859	0.011358272284269333
800000	4000	14873.35859632492	-130.86349263435278	-122.71708479005865	62.53494164894209	-0.27510668340220734	-228.4838898514568	-12.867137	-12.884347	0.24095015332102776	0.1446252861060202	790001	-1.0092067	0.01073937676846981
805000	4024	14994.006263971329	-144.60154028931993	-124.35790524068847	75.38956381447363	-0.165348575974726	-255.21607999080413	-12.107044	-12.1153145	0.1769834304973483	0.1879803854972124	795001	-1.1248269	0.010772076435387135
810000	4048	15082.383466243744	-152.75677214908245	-124.93543661328957	76.47132368173915	-0.1348517703417001	-234.0446189006988	-10.618809	-10.640158	0.23698396407067776	0.23087798096239567	800001	-0.9733364	0.010392588563263416
815000	4072	15171.285835027695	-126.53017960241466	-120.8074966571641	92.556077554371	-0.7847426315816644	-310.43463123012657	-12.043137	-12.055623	0.1542673009634018	0.1177560918778181	805001	-0.9261224	0.011315889656543732
820000	4100	15260.087319612503	-125.84770525114769	-119.83125873615249	73.40421561877251	-0.32068344210317556	-305.4854092986661	-14.410515	-14.398418	0.13599319078028202	0.15693061200901867	810001	-1.0234078	0.012112515047192574
825000	4124	15348.869887113571	-132.64082903147053	-122.07173915651589	67.97046586377205	-1.3098940311625873	-247.9378886425078	-14.241084	-14.206797	0.15324685860425233	0.10406902868300677	815001	-0.95276624	0.010416870005428791
